text_raw,id
"'i never understood guys who wanted to run into burning buildings.'
'you chase murderers.'
'not if they're on fire.'",1281
FedEx will no longer transport bioterror pathogens in wake of anthrax lab mishaps http://t.co/lHpgxc4b8J,1287
@ONU_France 74/75 Bioterrorism on '@Rockefeller_Chi/@RockefellerUniv'Heiress 2 evade lgl efforts 2 prosecute BLKs 4 @HarvardU kidnap'g.@AFP,1325
@whatupdave Headline in 2075 'Dust Storm on Mars Destroys 1% of Money Supply',1375
[News] Saint Louis University lowers tuition for first responders http://t.co/VJRHkmHpu2,1386
Arsonists being blamed for a blaze at a plastics recycling business in Adelaide | @pcaldicott7 reports. #7NewsAdl http://t.co/r1Xwdnvb0g,1414
Uber reduces drunk driving fatalities says independent study http://t.co/jVIVT6zrv7,1418
SANTA CRUZ  Head of the St Elizabeth Police Superintendent Lanford Salmon has r ... - http://t.co/vplR5Hka2u http://t.co/SxHW2TNNLf,1446
@AMAAS @JD_marsh22 just carry a gun. No way you get charged when you stop a mass murder,1478
Ali you flew planes and ran into burning buildings why are you making soup for that man child?! #BooRadleyVanCullen,1485
RT  ADVISORY: Stalled Bus at EDSA Service Road Cubao SB due to mechanical trouble as of 7:53 AM. 1 lane occupied._ https://t.co/HRNZKU66mm,1502
WFTV Eyewitness News: TN school psychologist arrested in Florida on child porn charges http://t.co/lgGLf5yrMe,1561
Australia's Ashes disaster - how the collapse unfolded at Trent Bridge http://t.co/UqEtEeltVU #telegraph,1605
Anti Collision Rear- #technology #cool http://t.co/vpvJ5hRc1i Via Techesback #Tech,1617
To fight bioterrorism sir.,1625
HST's Anthony Kimery Discusses #BioTerrorism on @Syfy Channel's 'Joe Rogan Questions Everything' #Pathogen #Virus http://t.co/0FDsc3f2IW,1637
'Choose to be happy. Fire truck the rest.' http://t.co/tAmRCWfYgd ????? Review of Kick Push by @JayMcLeanAuthor,1639
On Thursday at 03:27 we updated our #kml of 2D and 3D #seismic exploration vessels. #offshore #oil http://t.co/btdjGWeKqx,1641
Earthquake drill ??????,1673
People with netflix there's a really good documentary about Hiroshima narrated by John Hurt. 2 Parter that interviews Pilots + Survivors.,1704
No Floods #MTVHottest Lady Gaga,1774
Nueva favorita: EmergeNCY feat. The Chemical Brothers / My Bits http://t.co/MET4YtZMFB @DeezerColombia,1816
Now Trending in Nigeria: Police charge traditional ruler others with informant۪s  murder http://t.co/DQhpm4A5qY,1825
Jeff was bullied Sally was raped Ben was drowned Hoodie was betrayed LJ was abandoned EJ was a sacrifice Lost S.. (http://t.co/mFl7jzspOu),1860
Our garbage truck really caught on fire lmfao.,1904
#DebateQuestionsWeWantToHear Are these thugs or boys being boys? https://t.co/T0aZ5d9BHK,1939
Fascinating pics from inside North Korea. Not propaganda not devastation - just people living life. http://t.co/E2Dbcpwd9u,1965
Soap and education are not as sudden as a massacre but they are more deadly in the long run. -- Mark Twain,1966
Artifacts found in southern Indiana landslide near Horseshoe Casino http://t.co/BdB0NpgPkH http://t.co/jbCC0KShol,2036
Candlelight vigil at my house tonight for the victims of the mass ant murder (by me) in my bathroom sink. There will be snacks.,2043
Black African refugees in 'Israel' cannot attend Kenye West concert due to curfew for black refugees.. http://t.co/S0usjQYIJe,2127
'An alarming trend among first responders is raising concerns for local fire departments in Colorado and around... http://t.co/Iqr6v6DTHr,2133
A random hole just broke out in the street ?? http://t.co/dWU8QqYs0v,2162
"sorry-I built a fire by my desk already. RT@irishirr
@MChapmanWSAZ @WSAZ_Brittany @kellyannwx ..please maintain that snowstorm til I arrive.",2173
