text_raw,id
Sadly before she could save humanity Ursula drowned in the drool of a protoshoggoth but at least she sort of died doing what she loved.,878
George Njenga the hero saved his burning friend from a razing wildfire http://t.co/Ywkk26arAG,881
http://t.co/lMA39ZRWoY There is a way which seemeth right unto a man but the end thereof are the ways of death.,1012
RT NotExplained: The only known image of infamous hijacker D.B. Cooper. http://t.co/JlzK2HdeTG,1018
Nuclear-Deal: Indo-Japan pact lies at the heart of two US reactor-based projects: If Japan were to go ahead an... http://t.co/mvwdm9ZbcV,1070
"Anti-fracking group seeks review over #Lancashire seismic monitoring:
 
http://t.co/ZzbqmGNUsl #fracking http://t.co/Y23Xzl3fZv",1091
George Njenga the hero saved his burning friend from a razing wildfire... http://t.co/us8r6Qsn0p,1094
If abortion is murder then blowjobs are cannibalism and masturbation is mass genocide.,1114
Another entity forced to close in Montego Bay as a result of the collapsed sewer line #TVJNews,1121
Maratha raiders scorched their lands &amp; Punjab refused them food aid during the 1943 famine wonder if Bengalis harbor some 'hard feelings',1151
Is it bad to say that I'm kinda afraid of storms and we are in a storm???? help,1152
DOES ANYONE REMEMBER WHEN 5SOS CAME W 1D ON THE TMH TOUR WE HAD A GIANT RAINSTORM AND LAST NIGHT WE HAD ONE ALSO. @5SOS STOP BRINING RAIN,1218
VAL JUST DIED AND IM ABSOLUTELY DEVASTATED #emmerdale,1221
Fukushima Watch - Fukushima Watch Nuclear Disaster: Welcome. Welcome To Fukushima Watch offering t... http://t.co/M0KJdlwKFB #fukushima,1225
Jewish leaders prayed at the hospital where a Palestinian family is being treated after arson http://t.co/Wf8iTK2KVx via @HuffPostRelig,1231
What the fuck is going on at Trent Bridge?!  Reminds me of England's collapse out in the Caribbean back in the 90s...,1232
"Prince Phillip said of the numbers of those murdered by the British at Amritsar...

That۪s a bit exaggerated it must include the wounded۝.",1256
Another movie theater attack..close to home this time. Thankful for no casualties. Life will go on because we cannot allow evil to win!,1269
@mylittlepwnies3 @Early__May @AnathemaZhiv @TonySandos much of which has to do with lebanon 80s attack/ iran hostage crisis/ Libya Pan am,1289
Pakistan Supreme Court endorses military courts for terrorism cases http://t.co/sZeapuEuvy,1326
@AdamTuss and is the car that derailed a 5000 series by chance. They used to have issues w/ wheel climbing RE: 1/2007 Mt. Vern Sq derailment,1335
@_chelsdelong12 @kendra_leigh13 I'll crash it,1348
@JessicaLauraxo grandma collapsed and died,1456
@Gurmeetramrahim #MSGDoing111WelfareWorks Green S welfare force ke appx 65000 members har time disaster victim ki help ke liye tyar hai....,1470
#USGS M 1.2 - 23km S of Twentynine Palms California: Time2015-08-05 23:54:09 UTC2015-08-05 16:54:09 -07:0... http://t.co/kF0QYBKZOL #SM,1489
We are getting some reports of flooding near Jonesboro High School. Please use caution when driving in the area. Turn around don't drown!,1517
Here۪s what caused a Metro train to derail in downtown D.C. http://t.co/ImTYgdS5qO,1541
Pakistan Disowned Kasab Now Disowns Naved: State of Denial?: Naved the terrorist captured alive after an_ http://t.co/HGDrK81sN4,1546
Pak Army Helicopter crashed in Mansehra.,1562
@BlueJays @Braves @Angels Instead of dumping water on yourselves please send it to British Columbia to help with the forest fires,1584
Italy: Three dead after landslide in the Italian Alps: http://t.co/42MawZb8T9 via @YouTube,1661
Final #Medinah update: shot a 105. 49 on front (exploded with a) 56 on back. #ImKeepingMyDayJob (pic is famous #17) http://t.co/kcmbBwwp8G,1674
The majority of those killed were civilians on the ground after the jet first bombed the city's main street then dramatically plummeted,1733
First time for everything! @ Coney Island Cyclone https://t.co/SdNT3Dhs3W,1789
RT owenrbroadhurst RT JuanMThompson: At this hour 70 yrs ago one of the greatest acts of mass murder in world hist_ http://t.co/ODWs0waW9Q,1831
I can probably skip on these basic life maintenance things for a few days. (cut to burning buildings people screaming in the streets),1851
They evacuated the mall. Again. ??,1866
Police Officer Wounded Suspect Dead After Exchanging Shots,1911
@SavageNation Reminds me when the Peasants destroyed their food when Stalin's army came to 'redistribute the wealth'. It caused famine/death,1945
Swiss Kosher Hotel Bridge Collapse Injures Five People - http://t.co/TxIestoX5n @JewishPress,2054
RT @calestous: Tanzania elephant population declined by 60% in five years census reveals http://t.co/8zy9N6fX9T http://t.co/ITZ9masBvZ,2067
Be ember aware! http://t.co/LZmL1xB2nH,2068
#Obama signed up to a deal that far from making the world a safer place http://t.co/E0luGBL6pb via @upi #Iran #Nuclear #IranNuclearDeal,2076
Building structural integrity &amp; failure: problems inspections damages defects testing repair | Rightways https://t.co/a1KN4U3YuA,2077
Obama Declares Disaster for Typhoon-Devastated Saipan,2079
Why should a helicopter ambulance ride to transfer to a hospital 21 miles away cost $29800? http://t.co/7ZqIreY7Te http://t.co/9Qp3PqPwZv,2122
@ArizonaDOT Price Rd North bound closed from University to Rio Salado.. Lots of police..  What's crackin?,2152
It doesn't get any closer. Heavy rain just barely missed @TontitownGrape festival but lightning TOO CLOSE #TGF2015 http://t.co/zMtOp65Kx2,2165
